SRC	Qty	Score	Excess	STR
05611KA00	8	0.916737288	3.0E-4	27
19883K000	15	0.916567416	0.2266	24
09513KB00	32	0.916245477	0.8369	48
05611KD00	8	0.916236772	0.8689	8
45503KB00	46	0.916172933	1.9426	8
01980K000	1	0.915853175	2.9135	461
09537KB10	116	0.915847994	0.327	11
08420K000	3	0.915507613	0.0949	99
01285K200	14	0.914978157	0.1739	399
08977K000	14	0.914531477	2.1162	66
55849KC00	8	0.914259259	0.4703	11
10283K000	3	0.913743386	2.9662	193
10527KG00	3	0.913578042	0.0612	37
09547KA10	37	0.913033712	0.3197	8
55578K000	1	0.912896825	3.4823	41
16503KB00	9	0.912470238	0.3426	2
09537KB10	115	0.912302104	0.326	11
12567KB00	3	0.912268739	0.0315	9
01302K000	15	0.912091927	0.2145	176
72007K000	12	0.912046231	0.0838	83
45423K000	2	0.911943703	0.0989	30
40510KE00	26	0.91135295	2.0711	4
44693K000	10	0.91103458	0.022	91
05613K000	1	0.910928364	0.0759	15
33715K200	3	0.909887566	22.54	466
19436KC00	57	0.909681663	0.488	3
08680K000	3	0.90967433	0.7611	92
02813K000	10	0.909606264	1.1519	41
09537KB10	114	0.908442624	0.319	11
08528KA00	30	0.907481274	0.0183	20
63365K000	7	0.907391581	0.2802	680
16503KB00	8	0.906883262	0.3026	2
33735K200	3	0.906818783	0.7736	246
08300K000	1	0.906540851	0.089	63
45503KB00	45	0.906443625	1.9259	8
44655K000	13	0.905851434	0.1949	522
77250K100	4	0.905679012	0.1999	737
11623K000	1	0.90552552	2.3938	154
40500KA00	16	0.905270749	0.0443	6
01205K200	9	0.904264903	0.108	392
05611KF00	8	0.904194876	0.3986	7
09513KB00	31	0.904058748	0.8117	48
05350K500	13	0.904056757	1.3128	119
09537KB10	113	0.903829853	0.3146	11
33837K100	28	0.903757184	7.6307	98
05611KD00	7	0.903535053	0.7918	8
41737K100	20	0.903341837	0.023	30
77202K900	27	0.902567806	0.1495	4345
55889KC00	8	0.902146164	0.1078	2
55763K000	1	0.902118115	0.0857	22
01225K300	15	0.902010358	0.117	600
55743K000	11	0.901803852	0.1488	160
09537KB10	112	0.901315786	0.3115	11
37402K000	5	0.901020498	1.3165	244
09547KA10	36	0.900944488	0.3073	8
33725K200	7	0.900806878	0.3208	311
44635K000	25	0.90053458	0.1963	534
19436KC00	56	0.900361732	0.4747	3
45413K000	13	0.899759595	0.635	20
01285K300	17	0.899679194	0.1611	495
08429K000	18	0.89890112	0.3094	13
08528KA00	29	0.898255143	0.0175	20
08485K000	12	0.89734844	0.6339	72
55883K000	12	0.897257525	0.1869	31
12567KK00	11	0.897171799	0.1331	20
09537KB10	111	0.896836609	0.3089	11
45503KB00	44	0.896793529	1.911	8
27563KE00	3	0.896370968	7.6459	3
08976K000	8	0.896089179	0.5301	27
05430K000	3	0.895310321	0.1961	147
05611KD00	6	0.895137235	0.6999	8
06475K100	9	0.894805402	0.205	357
16503KB00	7	0.894750162	0.2673	2
44315K000	11	0.894479131	0.3789	543
08977K000	13	0.894422946	2.046	66
08640K000	2	0.894159633	0.0393	175
63472K000	5	0.893877551	0.0129	9
09537KB10	110	0.893507593	0.3017	11
40840K000	17	0.893421053	7.7796	107
19601K000	2	0.893392857	2.9476	152
63312K000	9	0.892588043	0.1931	262
19883K000	14	0.892419952	0.2058	24
19436KC00	55	0.89161965	0.4621	3
08987K000	6	0.891176471	7.6146	63
90376K000	15	0.891176471	0.4166	12
11485K000	7	0.891110201	0.1185	374
20518KB00	7	0.890750039	0.5063	3
34215K000	10	0.890615425	0.1618	193
09513KB00	30	0.890555245	0.7958	48
33837K100	27	0.889777299	7.6242	98
09537KB10	109	0.889768099	0.2957	11
08988K000	17	0.888515592	0.3736	166
40510KE00	25	0.888493873	2.0014	4
09547KA10	35	0.88843535	0.2894	8
40500KA00	15	0.888410193	0.0429	6
16503KB00	6	0.888224254	0.2427	2
05611KD00	5	0.887683532	0.6525	8
45503KB00	43	0.886990296	1.8756	8
31715K000	6	0.88593254	0.2326	214
